"Date","Close","Open","High","Low","percentage"
"2019年9月6日","1.1018","1.0966","1.1030","1.0956","0.48%"
"2019年9月5日","1.0965","1.0967","1.1009","1.0957","-0.06%"
"2019年9月4日","1.0972","1.0934","1.0978","1.0931","0.41%"
"2019年9月3日","1.0927","1.0935","1.0937","1.0915","-0.07%"
"2019年9月2日","1.0935","1.0957","1.0958","1.0929","-0.23%"
"2019年8月30日","1.0960","1.0984","1.0991","1.0948","-0.20%"
"2019年8月29日","1.0982","1.0945","1.0988","1.0938","0.32%"
"2019年8月28日","1.0947","1.0958","1.0969","1.0946","-0.09%"
"2019年8月27日","1.0957","1.0971","1.0981","1.0943","-0.12%"
"2019年8月26日","1.0970","1.1049","1.1051","1.0962","-0.75%"
"2019年8月23日","1.1053","1.1072","1.1087","1.1042","-0.14%"
"2019年8月22日","1.1068","1.1105","1.1106","1.1051","-0.33%"
"2019年8月21日","1.1105","1.1107","1.1120","1.1093","-0.02%"
"2019年8月20日","1.1107","1.1125","1.1127","1.1097","-0.16%"
"2019年8月19日","1.1125","1.1138","1.1143","1.1122","-0.13%"
"2019年8月16日","1.1139","1.1147","1.1152","1.1126","-0.07%"
"2019年8月15日","1.1147","1.1167","1.1170","1.1129","-0.20%"
"2019年8月14日","1.1169","1.1138","1.1195","1.1136","0.26%"
"2019年8月13日","1.1140","1.1122","1.1142","1.1099","0.20%"
"2019年8月12日","1.1118","1.1103","1.1118","1.1092","0.13%"
"2019年8月9日","1.1104","1.1130","1.1133","1.1096","-0.23%"
"2019年8月8日","1.1130","1.1105","1.1139","1.1100","0.22%"
"2019年8月7日","1.1106","1.1154","1.1155","1.1093","-0.46%"
"2019年8月6日","1.1157","1.1125","1.1169","1.1105","0.24%"
"2019年8月5日","1.1130","1.1286","1.1294","1.1112","-1.33%"
"2019年8月2日","1.1280","1.1345","1.1345","1.1251","-0.57%"
"2019年8月1日","1.1345","1.1372","1.1374","1.1331","-0.23%"
"2019年7月31日","1.1371","1.1364","1.1377","1.1358","0.06%"
"2019年7月30日","1.1364","1.1348","1.1374","1.1345","0.15%"
"2019年7月29日","1.1347","1.1364","1.1366","1.1329","-0.17%"
"2019年7月26日","1.1366","1.1373","1.1374","1.1354","-0.07%"
"2019年7月25日","1.1374","1.1372","1.1379","1.1359","0.03%"
"2019年7月24日","1.1371","1.1355","1.1372","1.1348","0.15%"
"2019年7月23日","1.1354","1.1349","1.1358","1.1340","0.04%"
"2019年7月22日","1.1350","1.1347","1.1354","1.1336","0.03%"
"2019年7月19日","1.1347","1.1360","1.1373","1.1341","-0.12%"
"2019年7月18日","1.1361","1.1369","1.1372","1.1349","-0.05%"
"2019年7月17日","1.1367","1.1368","1.1370","1.1344","-0.01%"
"2019年7月16日","1.1368","1.1380","1.1387","1.1359","-0.10%"
"2019年7月15日","1.1379","1.1372","1.1394","1.1370","0.06%"
"2019年7月12日","1.1372","1.1385","1.1390","1.1361","-0.13%"
"2019年7月11日","1.1387","1.1376","1.1399","1.1370","0.10%"
"2019年7月10日","1.1376","1.1332","1.1377","1.1332","0.35%"
"2019年7月9日","1.1336","1.1340","1.1363","1.1335","0.03%"
"2019年7月8日","1.1333","1.1309","1.1340","1.1306","0.21%"
"2019年7月5日","1.1309","1.1331","1.1340","1.1303","-0.20%"
"2019年7月4日","1.1332","1.1334","1.1342","1.1316","-0.01%"
"2019年7月3日","1.1333","1.1345","1.1349","1.1307","-0.11%"
"2019年7月2日","1.1346","1.1401","1.1403","1.1334","-0.50%"
"2019年7月1日","1.1403","1.1379","1.1431","1.1371","0.22%"
"2019年6月28日","1.1378","1.1366","1.1386","1.1355","0.12%"
"2019年6月27日","1.1364","1.1348","1.1365","1.1343","0.13%"
"2019年6月26日","1.1349","1.1355","1.1370","1.1331","-0.04%"
"2019年6月25日","1.1353","1.1350","1.1370","1.1336","-0.04%"
"2019年6月24日","1.1357","1.1380","1.1386","1.1352","-0.16%"
"2019年6月21日","1.1375","1.1406","1.1425","1.1350","-0.24%"
"2019年6月20日","1.1402","1.1328","1.1417","1.1317","0.60%"
"2019年6月19日","1.1334","1.1346","1.1354","1.1330","-0.09%"
"2019年6月18日","1.1344","1.1315","1.1346","1.1306","0.29%"
"2019年6月17日","1.1311","1.1302","1.1315","1.1299","0.07%"
"2019年6月14日","1.1303","1.1311","1.1318","1.1294","-0.06%"
"2019年6月13日","1.1310","1.1309","1.1314","1.1295","-0.01%"
"2019年6月12日","1.1311","1.1341","1.1342","1.1296","-0.25%"
"2019年6月11日","1.1339","1.1316","1.1341","1.1308","0.20%"
"2019年6月10日","1.1316","1.1344","1.1347","1.1303","-0.29%"
"2019年6月7日","1.1349","1.1352","1.1353","1.1346","0.02%"
"2019年6月6日","1.1347","1.1351","1.1351","1.1331","-0.03%"
"2019年6月5日","1.1350","1.1351","1.1356","1.1340","-0.02%"
"2019年6月4日","1.1352","1.1352","1.1368","1.1335","0.01%"
"2019年6月3日","1.1351","1.1352","1.1367","1.1340","-0.01%"
"2019年5月31日","1.1352","1.1373","1.1374","1.1340","-0.16%"
"2019年5月30日","1.1370","1.1353","1.1372","1.1349","0.16%"
"2019年5月29日","1.1352","1.1356","1.1363","1.1346","-0.06%"
"2019年5月28日","1.1359","1.1382","1.1382","1.1354","-0.18%"
"2019年5月27日","1.1380","1.1376","1.1404","1.1372","0.04%"
"2019年5月24日","1.1376","1.1357","1.1379","1.1346","0.16%"
"2019年5月23日","1.1358","1.1367","1.1367","1.1338","-0.07%"
"2019年5月22日","1.1366","1.1371","1.1378","1.1346","-0.05%"
"2019年5月21日","1.1372","1.1357","1.1378","1.1342","0.14%"
"2019年5月20日","1.1356","1.1346","1.1376","1.1345","0.09%"
"2019年5月17日","1.1346","1.1403","1.1403","1.1340","-0.50%"
"2019年5月16日","1.1403","1.1413","1.1418","1.1396","-0.11%"
"2019年5月15日","1.1416","1.1415","1.1437","1.1400","0.00%"
"2019年5月14日","1.1416","1.1413","1.1434","1.1400","0.04%"
"2019年5月13日","1.1412","1.1501","1.1502","1.1404","-0.78%"
"2019年5月10日","1.1502","1.1497","1.1551","1.1494","0.05%"
"2019年5月9日","1.1496","1.1574","1.1574","1.1485","-0.66%"
"2019年5月8日","1.1572","1.1580","1.1600","1.1561","-0.09%"
"2019年5月7日","1.1582","1.1594","1.1614","1.1570","-0.15%"
"2019年5月6日","1.1599","1.1655","1.1655","1.1545","-0.43%"
"2019年5月3日","1.1649","1.1646","1.1650","1.1645","0.03%"
"2019年5月2日","1.1646","1.1645","1.1650","1.1644","-0.02%"
"2019年5月1日","1.1648","1.1652","1.1655","1.1647","0.00%"
"2019年4月30日","1.1648","1.1648","1.1650","1.1635","0.00%"
"2019年4月29日","1.1648","1.1653","1.1658","1.1642","-0.06%"
"2019年4月26日","1.1655","1.1633","1.1663","1.1632","0.19%"
"2019年4月25日","1.1633","1.1668","1.1670","1.1619","-0.29%"
"2019年4月24日","1.1667","1.1659","1.1678","1.1655","0.06%"
"2019年4月23日","1.1660","1.1686","1.1696","1.1657","-0.23%"
"2019年4月22日","1.1687","1.1700","1.1704","1.1678","-0.12%"
"2019年4月19日","1.1701","1.1696","1.1709","1.1693","0.05%"
"2019年4月18日","1.1695","1.1730","1.1736","1.1686","-0.30%"
"2019年4月17日","1.1730","1.1685","1.1735","1.1684","0.39%"
"2019年4月16日","1.1684","1.1684","1.1691","1.1677","-0.02%"
"2019年4月15日","1.1686","1.1700","1.1704","1.1680","-0.10%"
"2019年4月12日","1.1698","1.1671","1.1702","1.1666","0.23%"
"2019年4月11日","1.1671","1.1668","1.1686","1.1667","0.03%"
"2019年4月10日","1.1668","1.1683","1.1684","1.1660","-0.13%"
"2019年4月9日","1.1683","1.1684","1.1695","1.1674","0.00%"
"2019年4月8日","1.1683","1.1683","1.1691","1.1672","0.00%"
"2019年4月5日","1.1683","1.1684","1.1685","1.1682","-0.01%"
"2019年4月4日","1.1684","1.1693","1.1702","1.1674","-0.10%"
"2019年4月3日","1.1696","1.1677","1.1708","1.1674","0.17%"
"2019年4月2日","1.1676","1.1695","1.1696","1.1668","-0.18%"
"2019年4月1日","1.1697","1.1696","1.1717","1.1688","0.02%"
"2019年3月29日","1.1695","1.1648","1.1707","1.1648","0.40%"
"2019年3月28日","1.1648","1.1668","1.1681","1.1644","-0.16%"
"2019年3月27日","1.1667","1.1688","1.1698","1.1661","-0.18%"
"2019年3月26日","1.1688","1.1695","1.1710","1.1685","-0.07%"
"2019年3月25日","1.1696","1.1680","1.1700","1.1674","0.13%"
"2019年3月22日","1.1681","1.1710","1.1720","1.1680","-0.28%"
"2019年3月21日","1.1714","1.1727","1.1774","1.1713","-0.09%"
"2019年3月20日","1.1725","1.1699","1.1731","1.1689","0.25%"
"2019年3月19日","1.1696","1.1695","1.1702","1.1681","0.03%"
