,feature,importance
21,sp500_Close_RDP1,0.16819622638757778
22,sp500_Adj Close_RDP1,0.15858430749106245
20,sp500_Low_RDP1,0.07399524467495106
19,sp500_High_RDP1,0.0605212004186239
29,sp500_Volume_RDP7,0.02976350662250636
17,hsi_Volume_RDP30,0.02591241824021999
30,sp500_Open_RDP30,0.02213187074872618
18,sp500_Open_RDP1,0.02199190941784695
25,sp500_High_RDP7,0.021614642812002
23,sp500_Volume_RDP1,0.02154208964032367
2,hsi_Low_RDP1,0.021508554356733316
4,hsi_Adj Close_RDP1,0.021294705515232916
1,hsi_High_RDP1,0.019796831577770135
3,hsi_Close_RDP1,0.01923552035761794
11,hsi_Volume_RDP7,0.01866391423752336
27,sp500_Close_RDP7,0.017841483630542315
14,hsi_Low_RDP30,0.017201879292868715
28,sp500_Adj Close_RDP7,0.017017754743813337
12,hsi_Open_RDP30,0.016202332829613322
16,hsi_Adj Close_RDP30,0.01620041743145336
10,hsi_Adj Close_RDP7,0.01616747682655458
34,sp500_Adj Close_RDP30,0.015003439181406328
24,sp500_Open_RDP7,0.014570363717826678
9,hsi_Close_RDP7,0.014387502994745964
26,sp500_Low_RDP7,0.014373934166268748
7,hsi_High_RDP7,0.014315840175515526
6,hsi_Open_RDP7,0.01395734151311711
31,sp500_High_RDP30,0.013877747013161993
13,hsi_High_RDP30,0.012453231531640203
32,sp500_Low_RDP30,0.012272979470364001
33,sp500_Close_RDP30,0.012198727040664497
0,hsi_Open_RDP1,0.011889741027442289
15,hsi_Close_RDP30,0.011828257610326319
8,hsi_Low_RDP7,0.011626131421338746
35,sp500_Volume_RDP30,0.011595517142684308
5,hsi_Volume_RDP1,0.010264958739933607
