,feature,importance,,feature,importance,,feature,importance,,feature,importance,average
21,sp500_Close_RDP1,0.082252708,21,sp500_Close_RDP1,0.05813848,21,sp500_Close_RDP1,0.058692237,21,sp500_Close_RDP1,0.058692237,0.064443915
22,sp500_Adj Close_RDP1,0.064885251,22,sp500_Adj Close_RDP1,0.05042632,22,sp500_Adj Close_RDP1,0.050495564,22,sp500_Adj Close_RDP1,0.050495564,0.054075675
20,sp500_Low_RDP1,0.050524676,20,sp500_Low_RDP1,0.041164045,20,sp500_Low_RDP1,0.041089483,20,sp500_Low_RDP1,0.041089483,0.043466922
19,sp500_High_RDP1,0.041756036,19,sp500_High_RDP1,0.036338271,19,sp500_High_RDP1,0.035762887,19,sp500_High_RDP1,0.035762887,0.037405021
29,sp500_Volume_RDP7,0.032683011,29,sp500_Volume_RDP7,0.033125472,29,sp500_Volume_RDP7,0.032029711,29,sp500_Volume_RDP7,0.032029711,0.032466977
17,hsi_Volume_RDP30,0.030811929,17,hsi_Volume_RDP30,0.033483386,17,hsi_Volume_RDP30,0.032436588,17,hsi_Volume_RDP30,0.032436588,0.032292123
35,sp500_Volume_RDP30,0.029383505,35,sp500_Volume_RDP30,0.030192594,35,sp500_Volume_RDP30,0.030546558,35,sp500_Volume_RDP30,0.030546558,0.030167304
1,hsi_High_RDP1,0.028929711,1,hsi_High_RDP1,0.029719537,1,hsi_High_RDP1,0.030652982,1,hsi_High_RDP1,0.030652982,0.029988803
18,sp500_Open_RDP1,0.028329962,18,sp500_Open_RDP1,0.030110281,18,sp500_Open_RDP1,0.030063519,18,sp500_Open_RDP1,0.030063519,0.02964182
23,sp500_Volume_RDP1,0.026453607,23,sp500_Volume_RDP1,0.029451215,23,sp500_Volume_RDP1,0.029880748,23,sp500_Volume_RDP1,0.029880748,0.02891658
0,hsi_Open_RDP1,0.027869768,0,hsi_Open_RDP1,0.029010729,0,hsi_Open_RDP1,0.02849983,0,hsi_Open_RDP1,0.02849983,0.028470039
11,hsi_Volume_RDP7,0.026287914,11,hsi_Volume_RDP7,0.028448792,11,hsi_Volume_RDP7,0.028739139,11,hsi_Volume_RDP7,0.028739139,0.028053746
2,hsi_Low_RDP1,0.025748296,2,hsi_Low_RDP1,0.028703575,2,hsi_Low_RDP1,0.028753442,2,hsi_Low_RDP1,0.028753442,0.027989689
4,hsi_Adj Close_RDP1,0.028577962,4,hsi_Adj Close_RDP1,0.027149348,4,hsi_Adj Close_RDP1,0.026312019,4,hsi_Adj Close_RDP1,0.026312019,0.027087837
